Player,Pos,3P%,2P%,FT%,TRB,AST,STL,BLK
Terrence Jones,PF,0.316,0.49,0.664,4.2,0.8,0.5,0.8
Tyus Jones,PG,0.302,0.388,0.718,1.3,2.9,0.8,0.1
DeAndre Jordan,C,0,0.704,0.43,13.8,1.2,0.7,2.3
Cory Joseph,SG,0.273,0.478,0.764,2.6,3.1,0.8,0.3
Chris Kaman,C,0.25,0.487,1,1.5,0.7,0.1,0.1
Frank Kaminsky,C,0.337,0.455,0.73,4.1,1.2,0.5,0.5
Enes Kanter,C,0.476,0.579,0.797,8.1,0.4,0.3,0.4
Sergey Karasev,SF,0.297,0.514,0.929,1.5,0.9,0.2,0.1
Sasha Kaun,C,0,0.529,0.455,1,0.1,0.2,0.2
Ryan Kelly,PF,0.135,0.446,0.685,3.4,0.6,0.4,0.3
Michael Kidd-Gilchrist,SF,0.429,0.556,0.69,6.4,1.3,0.4,0.4
Sean Kilpatrick,SG,0.342,0.538,0.896,1.8,0.9,0.4,0.1
Brandon Knight,SG,0.342,0.461,0.852,3.9,5.1,1.2,0.4
Kyle Korver,SG,0.398,0.502,0.833,3.3,2.1,0.8,0.4
Kosta Koufos,C,0,0.532,0.548,5.4,0.4,0.5,0.9
Jeremy Lamb,SG,0.309,0.529,0.727,3.8,1.2,0.6,0.5
Carl Landry,PF,0.462,0.561,0.736,4.1,0.9,0.3,0.3
Shane Larkin,PG,0.361,0.464,0.776,2.3,4.4,1.2,0.2
Joffrey Lauvergne,C,0.245,0.557,0.899,4.9,0.9,0.2,0.3
Zach LaVine,SG,0.389,0.482,0.793,2.8,3.1,0.8,0.2
Ty Lawson,PG,0.333,0.419,0.686,1.8,3.6,0.8,0.1
Courtney Lee,SG,0.378,0.493,0.839,2.6,1.7,1.1,0.4
David Lee,PF,0,0.533,0.763,5.5,1.5,0.4,0.5
Alex Len,C,0.143,0.426,0.728,7.6,1.2,0.5,0.8
Kawhi Leonard,SF,0.443,0.528,0.874,6.8,2.6,1.8,1
Meyers Leonard,PF,0.377,0.527,0.761,5.1,1.5,0.1,0.3
Jon Leuer,PF,0.382,0.511,0.762,5.6,1.1,0.6,0.4
Damian Lillard,PG,0.375,0.45,0.892,4,6.8,0.9,0.4
Jeremy Lin,SG,0.336,0.446,0.815,3.2,3,0.7,0.5
Shaun Livingston,PG,0.167,0.548,0.86,2.2,3,0.7,0.3
Kevon Looney,PF,0.5,0.6,0,2,0,0,0
Brook Lopez,C,0.143,0.515,0.787,7.8,2,0.8,1.7
Robin Lopez,C,0,0.54,0.795,7.3,1.4,0.2,1.6
Kevin Love,PF,0.36,0.467,0.822,9.9,2.4,0.8,0.5
Kyle Lowry,PG,0.388,0.461,0.811,4.7,6.4,2.1,0.4
Trey Lyles,PF,0.383,0.461,0.695,3.7,0.7,0.3,0.2
Shelvin Mack,PG,0.312,0.493,0.738,2.5,3.6,0.7,0.1
Ian Mahinmi,C,0,0.589,0.587,7.1,1.5,0.9,1.1
Devyn Marble,SG,0.25,0.333,0.417,1.4,0.4,0.5,0
Boban Marjanovic,C,0,0.603,0.763,3.6,0.4,0.2,0.4
Kendall Marshall,PG,0.327,0.391,0.692,0.9,2.4,0.5,0.1
Jarell Martin,PF,0,0.474,0.726,3.2,0.6,0.3,0.3
Kevin Martin,SG,0.36,0.378,0.89,2,1.1,0.5,0.1
Wesley Matthews,SG,0.36,0.432,0.863,3.1,1.9,1,0.2
O.J. Mayo,SG,0.321,0.421,0.775,2.6,2.9,1.2,0.2
Luc Mbah a Moute,PF,0.325,0.485,0.526,2.3,0.4,0.6,0.3
James Michael McAdoo,PF,0.5,0.537,0.531,1.4,0.4,0.2,0.2
Ray McCallum,PG,0.357,0.385,0.8,1.1,1.5,0.3,0.2
C.J. McCollum,SG,0.417,0.463,0.827,3.2,4.3,1.2,0.3
T.J. McConnell,PG,0.348,0.499,0.634,3.1,4.5,1.2,0.1
Chris McCullough,PF,0.382,0.413,0.478,2.8,0.4,1.2,0.5
K.J. McDaniels,SF,0.28,0.468,0.8,1.1,0.3,0.2,0.2
Doug McDermott,SF,0.425,0.47,0.857,2.4,0.7,0.2,0.1
Mitch McGary,PF,0,0.579,0.4,0.9,0.2,0.1,0.1
JaVale McGee,C,0,0.579,0.5,3.9,0.1,0.1,0.8
Ben McLemore,SG,0.362,0.474,0.718,2.2,1.2,0.8,0.1
Jordan McRae,PG,0.455,0.429,0.75,0.9,1.1,0.1,0
Josh McRoberts,PF,0.245,0.434,0.7,2.5,1.9,0.4,0.2
Jodie Meeks,SG,0.444,0.273,1,1.7,1,0,0
Salah Mejri,C,0,0.636,0.587,3.6,0.3,0.2,1.1
Jordan Mickey,PF,0,0.364,0.5,0.8,0.1,0,0.7
Khris Middleton,SG,0.396,0.466,0.888,3.8,4.2,1.7,0.2
C.J. Miles,SF,0.367,0.474,0.75,2.7,1,0.8,0.5
Andre Miller,PG,0.25,0.582,0.75,1.3,2.2,0.4,0
Mike Miller,SF,0.365,0.3,0,1.1,0.9,0.3,0.1
Patrick Mills,PG,0.384,0.469,0.81,2,2.8,0.7,0.1
Elijah Millsap,SG,0.083,0.37,0.722,1.8,1,0.4,0.2
Paul Millsap,PF,0.319,0.512,0.757,9,3.3,1.8,1.7
Nikola Mirotic,PF,0.39,0.43,0.807,5.5,1.5,0.9,0.7
Nazr Mohammed,C,0,0.6,1,0.8,0,0,0
Greg Monroe,C,0,0.522,0.74,8.8,2.3,0.9,0.8
Luis Montero,SG,0.111,0.4,0.75,0.3,0.1,0,0
E'Twaun Moore,SG,0.452,0.491,0.629,2.3,1.7,0.6,0.3
Eric Moreland,PF,0,0.5,0.5,1.4,0.1,0,0.5
Marcus Morris,SF,0.362,0.467,0.749,5.1,2.5,0.8,0.3
Markieff Morris,PF,0.303,0.458,0.735,5.5,1.9,0.9,0.5
Anthony Morrow,SG,0.387,0.442,0.744,0.9,0.4,0.3,0.1
Donatas Motiejunas,PF,0.281,0.5,0.642,2.9,1.1,0.5,0.1
Timofey Mozgov,C,0.143,0.574,0.716,4.4,0.4,0.3,0.8
Emmanuel Mudiay,PG,0.319,0.379,0.67,3.4,5.5,1,0.5
Shabazz Muhammad,SF,0.289,0.516,0.764,3.3,0.6,0.3,0.1
Xavier Munford,SG,0.391,0.426,0.5,2.2,1.6,0.9,0.2
Mike Muscala,C,0.308,0.566,0.795,2,0.6,0.2,0.5
Larry Nance Jr.,PF,0.1,0.541,0.681,5,0.7,0.9,0.4
Shabazz Napier,PG,0.327,0.351,0.733,1,1.8,0.4,0
Gary Neal,SG,0.41,0.489,0.855,2.1,1.2,0.5,0
Jameer Nelson,PG,0.299,0.429,0.857,2.9,4.9,0.6,0.1
Raul Neto,PG,0.395,0.453,0.743,1.5,2.1,0.8,0
Andrew Nicholson,PF,0.36,0.536,0.785,3.6,0.4,0.2,0.4
Joakim Noah,C,0,0.386,0.489,8.8,3.8,0.6,1
Nerlens Noel,C,0.5,0.521,0.59,8.1,1.8,1.8,1.5
Lucas Nogueira,C,0.333,0.659,0.533,1.6,0.2,0.4,0.4
Steve Novak,PF,0.467,0.333,1,0.5,0,0,0
Dirk Nowitzki,PF,0.368,0.483,0.893,6.5,1.8,0.7,0.7
Jusuf Nurkic,C,0,0.423,0.616,5.5,1.3,0.8,1.4
J.J. O'Brien,SF,0,0,0,0.5,0,0.5,0
Johnny O'Bryant,PF,1,0.409,0.675,2.7,0.5,0.3,0.1
Kyle O'Quinn,PF,0.227,0.498,0.767,3.8,1.1,0.3,0.8
Jahlil Okafor,C,0.167,0.511,0.686,7,1.2,0.4,1.2
Victor Oladipo,SG,0.348,0.475,0.83,4.8,3.9,1.6,0.8
Kelly Olynyk,C,0.405,0.486,0.75,4.1,1.5,0.8,0.5
Kelly Oubre,SF,0.316,0.492,0.633,2.1,0.2,0.3,0.1
Zaza Pachulia,C,0,0.469,0.768,9.4,1.7,0.8,0.3
Kostas Papanikolaou,SF,0.313,0.412,0.643,1.5,0.6,0.5,0.2
Jabari Parker,PF,0.257,0.502,0.768,5.2,1.7,0.9,0.4
Tony Parker,PG,0.415,0.501,0.76,2.4,5.3,0.8,0.2
Chandler Parsons,SF,0.414,0.54,0.684,4.7,2.8,0.8,0.3
Lamar Patterson,SG,0.245,0.516,0.727,1.4,1.1,0.3,0.1
Patrick Patterson,PF,0.362,0.49,0.853,4.3,1.2,0.7,0.4
Chris Paul,PG,0.371,0.501,0.896,4.2,10,2.1,0.2
Adreian Payne,PF,0.281,0.389,0.654,2.1,0.6,0.3,0.2
Cameron Payne,PG,0.324,0.467,0.792,1.5,1.9,0.6,0.1
Elfrid Payton,PG,0.326,0.451,0.589,3.6,6.4,1.2,0.3
Nikola Pekovic,C,0,0.38,0.8,1.8,0.9,0.1,0
Kendrick Perkins,C,0,0.533,0.44,3.5,0.8,0.3,0.3
Paul Pierce,SF,0.31,0.445,0.818,2.7,1,0.5,0.3
Tibor Pleiss,C,0,0.478,1,1.3,0.2,0.1,0.2
Mason Plumlee,C,0,0.52,0.642,7.7,2.8,0.8,1
Miles Plumlee,C,0,0.601,0.576,3.8,0.3,0.3,0.8
Otto Porter,SF,0.367,0.536,0.754,5.2,1.6,1.4,0.4
Bobby Portis,PF,0.308,0.443,0.727,5.4,0.8,0.4,0.4
Kristaps Porzingis,PF,0.333,0.454,0.838,7.3,1.3,0.7,1.9
Dwight Powell,PF,0.125,0.514,0.739,4,0.6,0.5,0.3
Norman Powell,SG,0.404,0.436,0.811,2.3,1,0.6,0.2
Phil Pressey,PG,0.222,0.433,0.52,1.3,3.3,0.8,0.2
Ronnie Price,PG,0.347,0.453,0.756,1.6,2.4,1.2,0.2
Pablo Prigioni,PG,0.295,0.519,0.875,1.9,2.2,0.9,0
Tayshaun Prince,SF,0.174,0.476,0.684,1.9,0.9,0.5,0.2
Julius Randle,PF,0.278,0.436,0.715,10.2,1.8,0.7,0.4
Zach Randolph,PF,0.231,0.482,0.796,7.8,2.1,0.6,0.2
J.J. Redick,SG,0.475,0.484,0.888,1.9,1.4,0.6,0.1
Willie Reed,PF,0,0.571,0.545,3.1,0.3,0.2,0.8
Josh Richardson,SG,0.461,0.446,0.667,2.1,1.4,0.7,0.5
Austin Rivers,SG,0.335,0.495,0.681,1.9,1.5,0.7,0.1
Andre Roberson,SG,0.311,0.608,0.611,3.6,0.7,0.8,0.6
Brian Roberts,PG,0.357,0.48,0.894,0.8,1.1,0.2,0
Glenn Robinson,SF,0.378,0.447,0.692,1.5,0.6,0.4,0.2
Nate Robinson,PG,0,0,0,0,2,0.5,0
Thomas Robinson,PF,0,0.448,0.431,5.1,0.6,0.5,0.5
Rajon Rondo,PG,0.365,0.479,0.58,6,11.7,2,0.1
Derrick Rose,PG,0.293,0.449,0.793,3.4,4.7,0.7,0.2
Terrence Ross,SF,0.386,0.484,0.79,2.5,0.8,0.7,0.3
Terry Rozier,PG,0.222,0.291,0.8,1.6,0.9,0.2,0
Ricky Rubio,PG,0.326,0.396,0.847,4.3,8.7,2.1,0.1
Damjan Rudez,SF,0.34,0.667,1,0.6,0.3,0.1,0
Brandon Rush,SG,0.414,0.447,0.643,2.5,0.8,0.3,0.3
D'Angelo Russell,PG,0.351,0.447,0.737,3.4,3.3,1.2,0.2
Robert Sacre,C,0,0.413,0.658,2.9,0.6,0.2,0.4
JaKarr Sampson,SF,0.222,0.496,0.656,2.6,0.6,0.3,0.5
Dennis Schroder,PG,0.322,0.465,0.791,2.6,4.4,0.9,0.1
Luis Scola,PF,0.404,0.467,0.726,4.7,0.9,0.6,0.4
Mike Scott,PF,0.392,0.523,0.794,2.7,1,0.3,0.2
Thabo Sefolosha,SF,0.339,0.589,0.626,4.5,1.4,1.1,0.5
Kevin Seraphin,C,0,0.414,0.826,2.6,1,0.2,0.8
Ramon Sessions,PG,0.324,0.507,0.756,2.5,2.9,0.6,0.1
Iman Shumpert,SG,0.295,0.447,0.784,3.8,1.7,1,0.4
Jonathon Simmons,SG,0.383,0.533,0.75,1.7,1.1,0.4,0.1
Henry Sims,C,0,0.429,0.833,5.1,0.6,0.6,1
Kyle Singler,SF,0.309,0.452,0.659,2.1,0.4,0.4,0.1
Donald Sloan,PG,0.384,0.462,0.75,2.8,4.4,0.5,0.1
Marcus Smart,PG,0.253,0.427,0.777,4.2,3,1.5,0.3
Greg Smith,PF,0,0.563,0.412,2.3,0.3,0.2,0.1
Ish Smith,PG,0.329,0.428,0.693,4,6.5,1.1,0.3
J.R. Smith,SG,0.4,0.438,0.634,2.8,1.7,1.1,0.3
Jason Smith,C,0.25,0.493,0.806,2.9,0.8,0.4,0.9
Josh Smith,PF,0.287,0.417,0.552,3.5,1.6,0.6,0.9
Russ Smith,PG,0.2,0.353,0.615,0.6,0.7,0.3,0.1
Tony Snell,SF,0.361,0.38,0.909,3.1,1,0.3,0.3
Marreese Speights,C,0.387,0.439,0.825,3.3,0.8,0.3,0.5
Tiago Splitter,C,0,0.529,0.813,3.3,0.8,0.6,0.3
Nik Stauskas,SG,0.326,0.473,0.771,2.5,1.9,0.6,0.3
Lance Stephenson,SF,0.385,0.5,0.784,3.2,1.9,0.6,0.1
Alex Stepheson,PF,0,0.333,0.333,3.5,0.3,0.1,0.6
Jarnell Stokes,C,0,0.6,0.5,0.6,0.1,0.1,0
Amar'e Stoudemire,C,0,0.566,0.746,4.3,0.5,0.3,0.8
Rodney Stuckey,PG,0.241,0.453,0.829,2.7,2.4,0.7,0.1
Jared Sullinger,PF,0.282,0.458,0.64,8.3,2.3,0.9,0.6
Walter Tavares,C,0,0.579,0.375,1.9,0.3,0.1,0.5
Jeff Teague,PG,0.4,0.454,0.837,2.7,5.9,1.2,0.3
Mirza Teletovic,PF,0.393,0.476,0.774,3.8,1.1,0.4,0.3
Garrett Temple,SF,0.345,0.453,0.728,2.7,1.8,0.9,0.2
Jason Terry,SG,0.356,0.504,0.818,1.1,1.4,0.7,0.1
Isaiah Thomas,PG,0.359,0.462,0.871,3,6.2,1.1,0.1
Lance Thomas,PF,0.404,0.458,0.857,2.2,0.9,0.4,0.1
Hollis Thompson,SG,0.38,0.42,0.719,3.5,1.3,0.5,0.3
Jason Thompson,C,0.333,0.505,0.704,2.9,0.6,0.3,0.4
Klay Thompson,SG,0.425,0.51,0.873,3.8,2.1,0.8,0.6
Tristan Thompson,PF,0,0.588,0.616,9,0.8,0.5,0.6
Marcus Thornton,SG,0.337,0.46,0.848,2.5,1.4,0.8,0.1
Anthony Tolliver,PF,0.36,0.5,0.617,3.2,0.7,0.4,0.2
Axel Toupane,SF,0.325,0.4,0.765,1.5,0.7,0.3,0.3
Karl-Anthony Towns,C,0.341,0.559,0.811,10.5,2,0.7,1.7
P.J. Tucker,SF,0.33,0.455,0.746,6.2,2.2,1.3,0.2
Evan Turner,SG,0.241,0.482,0.827,4.9,4.4,1,0.3
Myles Turner,C,0.214,0.506,0.727,5.5,0.7,0.4,1.4
Beno Udrih,PG,0.341,0.461,0.9,1.6,2.6,0.3,0
Jonas Valanciunas,C,0,0.565,0.761,9.1,0.7,0.4,1.3
Anderson Varejao,C,0,0.431,0.64,2.7,0.7,0.3,0.2
Greivis Vasquez,PG,0.247,0.415,0.846,2,4,0.4,0
Rashad Vaughn,SG,0.293,0.319,0.8,1.3,0.6,0.4,0.2
Charlie Villanueva,PF,0.273,0.503,0.917,2.5,0.4,0.3,0.2
Noah Vonleh,PF,0.239,0.457,0.745,3.9,0.4,0.3,0.3
Nikola Vucevic,C,0.222,0.512,0.753,8.9,2.8,0.8,1.1
Sasha Vujacic,SG,0.364,0.403,0.821,2.4,1.4,0.6,0.1
Dwyane Wade,SG,0.159,0.468,0.793,4.1,4.6,1.1,0.6
Dion Waiters,SG,0.358,0.421,0.713,2.6,2,1,0.2
Kemba Walker,PG,0.371,0.459,0.847,4.4,5.2,1.6,0.5
John Wall,PG,0.351,0.448,0.791,4.9,10.2,1.9,0.8
T.J. Warren,SF,0.4,0.52,0.703,3.1,0.9,0.8,0.3
C.J. Watson,PG,0.292,0.371,0.872,2,2.7,0.6,0.2
Briante Weber,PG,0,0.412,0.75,3.6,3,1.3,0.4
David West,PF,0.429,0.546,0.788,4,1.8,0.6,0.7
Russell Westbrook,PG,0.296,0.503,0.812,7.8,10.4,2,0.3
Hassan Whiteside,C,0,0.606,0.65,11.8,0.4,0.6,3.7
Shayne Whittington,PF,0,0.556,0.5,1.7,0.4,0.1,0.1
Andrew Wiggins,SF,0.3,0.486,0.761,3.6,2,1,0.6
C.J. Wilcox,SG,0.391,0.395,0.75,0.5,0.4,0.4,0.1
Alan Williams,PF,0,0.417,0.643,3.8,0.5,0.4,0.5
Deron Williams,PG,0.344,0.454,0.869,2.9,5.8,0.9,0.2
Derrick Williams,SF,0.293,0.506,0.758,3.7,0.9,0.4,0.1
Elliot Williams,PG,0.25,0.167,0.75,0.8,0.8,0,0
Lou Williams,SG,0.344,0.464,0.83,2.5,2.5,0.9,0.3
Marvin Williams,PF,0.402,0.504,0.833,6.4,1.4,0.7,1
Mo Williams,PG,0.353,0.48,0.905,1.8,2.4,0.3,0.1
Justise Winslow,SF,0.276,0.471,0.684,5.2,1.5,0.9,0.3
Jeff Withey,C,0,0.544,0.729,3.4,0.4,0.4,1
Christian Wood,PF,0.364,0.429,0.619,2.2,0.2,0.3,0.4
Metta World Peace,SF,0.31,0.312,0.702,2.5,0.8,0.6,0.3
Brandan Wright,PF,0,0.673,0.542,3.6,0.5,0.4,1.3
Delon Wright,PG,0.385,0.463,0.743,1.4,1.1,0.3,0.1
Tony Wroten,PG,0.176,0.396,0.541,2.6,2.5,0.4,0
James Young,SG,0.231,0.5,0.25,0.9,0.3,0.2,0
Joe Young,PG,0.217,0.423,0.8,1.2,1.6,0.4,0
Nick Young,SG,0.325,0.363,0.829,1.8,0.6,0.4,0.1
Thaddeus Young,PF,0.233,0.523,0.644,9,1.8,1.5,0.5
Cody Zeller,C,0.1,0.539,0.754,6.2,1,0.8,0.9
Tyler Zeller,C,0,0.476,0.815,3,0.5,0.2,0.4
